cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Singapore,Singapore,0.7966,235,100,0,9,36,77,17,180,3000,48,77,24,40,0,0,0,6,11200000000,5.66E+11,9,0,1340000,0,4017314,5995991,697,193,10,0,307.9,SGP,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg
Slovakia,Slovakia,0.8466,47,10,0,7,8,21,0,20,661,16,9,25,0,0,0,0,0,2121817575,75040000000,35,200,82000,9000000,2776970,5445040,49035,0,172,1587,99.75,SVK,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg
Slovenia,Slovenia,1.9496,38,0,0,3,23,16,0,44,269,0,63,0,2,0,0,0,0,581000000,46300000000,16,5,55000,0,1002714,2102126,20273,47,0,1211,49.93,SVN,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg
Somalia,Somalia,4.6404,0,0,0,0,0,0,0,10,100,0,30,10,3,0,0,0,0,62200000,5300000000,61,0,6200,0,2702167,11259029,637657,3025,0,2385,2.37,SOM,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg
South Africa,South Africa,0.4985,226,17,0,23,88,91,12,195,2000,43,72,50,30,0,3,0,4,4278000000,1.56E+11,566,2000,605000,15000000,26250220,55380210,1219090,2798,0,5244,341.2,ZAF,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg
"Korea, South","Korea, South",0.1509,1649,414,71,41,298,803,112,2614,14000,3040,3854,575,234,0,0,0,0,44000000000,3.85E+11,111,0,2800000,0,25709049,51418097,99720,2413,1600,237,1410,KOR,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/1024px-Flag_of_South_Korea.svg.png
South Sudan,South Sudan,2.3501,19,0,0,2,0,17,6,110,200,24,0,14,0,2,22,12,18,80000000,2250000000,85,150200,60000,3750000000,5245155,10204581,644329,0,0,6018,11.89,SSD,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg
Spain,Spain,0.3388,512,137,12,46,162,162,19,327,2023,95,140,0,77,1,3,0,11,15100000000,2.09E+12,150,2252,1226000,150000000,23136275,49331076,505370,4964,1000,1953,1400,ESP,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg
Sri Lanka,Sri Lanka,1.4661,77,0,0,15,6,54,9,202,570,0,209,22,40,0,0,0,0,2500000000,51720000000,19,0,90000,0,10927071,22576592,65610,1340,160,0,71.57,LKA,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg
Sudan,Sudan,1.3017,190,46,38,22,11,73,43,690,400,10,0,0,18,0,0,0,0,2470000000,56050000000,74,102300,96800,5000000000,24061430,43120843,1861484,853,1723,6819,70.03,SDN,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg
